"","MSOA11CD","LSOA11CD","OA11CD","LSOA11NM","MSOA11NM","LAD11CD","LAD11NM","LAD11NMW","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUK.msoa","Country of Birth: All categories: Country of birth.msoa","nonUKZoneProp.lsoa","nonUKZoneProp.msoa"
"1","E02001578","E01007695","E00038988","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",8,2.42424242424242,330,57,2461,229,9461,2.31613165379927,2.4204629531762
"2","E02001578","E01007695","E00038989","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",5,2.05761316872428,243,57,2461,229,9461,2.31613165379927,2.4204629531762
"3","E02001578","E01007693","E00038980","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",7,3.34928229665072,209,58,2148,229,9461,2.70018621973929,2.4204629531762
"4","E02001578","E01007695","E00168764","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",5,1.36986301369863,365,57,2461,229,9461,2.31613165379927,2.4204629531762
"5","E02001578","E01007694","E00038984","Rotherham 001B","Rotherham 001","E08000018","Rotherham","",34,8.13397129186603,418,70,1758,229,9461,3.98179749715586,2.4204629531762
"6","E02001578","E01007693","E00168762","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",9,3.01003344481605,299,58,2148,229,9461,2.70018621973929,2.4204629531762
"7","E02001578","E01007693","E00038982","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",10,2.710027100271,369,58,2148,229,9461,2.70018621973929,2.4204629531762
"8","E02001578","E01007693","E00168760","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",4,1.73160173160173,231,58,2148,229,9461,2.70018621973929,2.4204629531762
"9","E02001578","E01007695","E00168753","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",3,1.14068441064639,263,57,2461,229,9461,2.31613165379927,2.4204629531762
"10","E02001578","E01007693","E00168761","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",5,2.53807106598985,197,58,2148,229,9461,2.70018621973929,2.4204629531762
"11","E02001578","E01007697","E00038978","Rotherham 001D","Rotherham 001","E08000018","Rotherham","",2,0.735294117647059,272,19,1577,229,9461,1.20481927710843,2.4204629531762
"12","E02001578","E01007694","E00038985","Rotherham 001B","Rotherham 001","E08000018","Rotherham","",7,2.04678362573099,342,70,1758,229,9461,3.98179749715586,2.4204629531762
"13","E02001578","E01007698","E00038976","Rotherham 001E","Rotherham 001","E08000018","Rotherham","",2,0.706713780918728,283,25,1517,229,9461,1.6479894528675,2.4204629531762
"14","E02001578","E01007694","E00038987","Rotherham 001B","Rotherham 001","E08000018","Rotherham","",14,4.56026058631922,307,70,1758,229,9461,3.98179749715586,2.4204629531762
"15","E02001578","E01007693","E00038972","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",6,2.4,250,58,2148,229,9461,2.70018621973929,2.4204629531762
"16","E02001578","E01007697","E00038970","Rotherham 001D","Rotherham 001","E08000018","Rotherham","",4,1.0752688172043,372,19,1577,229,9461,1.20481927710843,2.4204629531762
"17","E02001578","E01007695","E00038986","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",12,3.51906158357771,341,57,2461,229,9461,2.31613165379927,2.4204629531762
"18","E02001578","E01007695","E00038973","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",5,1.82481751824817,274,57,2461,229,9461,2.31613165379927,2.4204629531762
"19","E02001578","E01007693","E00168763","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",13,3.30788804071247,393,58,2148,229,9461,2.70018621973929,2.4204629531762
"20","E02001578","E01007693","E00168759","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",4,2,200,58,2148,229,9461,2.70018621973929,2.4204629531762
"21","E02001578","E01007698","E00038991","Rotherham 001E","Rotherham 001","E08000018","Rotherham","",3,1.01351351351351,296,25,1517,229,9461,1.6479894528675,2.4204629531762
"22","E02001578","E01007698","E00038967","Rotherham 001E","Rotherham 001","E08000018","Rotherham","",10,2.93255131964809,341,25,1517,229,9461,1.6479894528675,2.4204629531762
"23","E02001578","E01007697","E00038979","Rotherham 001D","Rotherham 001","E08000018","Rotherham","",2,0.647249190938511,309,19,1577,229,9461,1.20481927710843,2.4204629531762
"24","E02001578","E01007694","E00038981","Rotherham 001B","Rotherham 001","E08000018","Rotherham","",9,2.00445434298441,449,70,1758,229,9461,3.98179749715586,2.4204629531762
"25","E02001578","E01007698","E00038974","Rotherham 001E","Rotherham 001","E08000018","Rotherham","",7,2.34113712374582,299,25,1517,229,9461,1.6479894528675,2.4204629531762
"26","E02001578","E01007694","E00038983","Rotherham 001B","Rotherham 001","E08000018","Rotherham","",6,2.47933884297521,242,70,1758,229,9461,3.98179749715586,2.4204629531762
"27","E02001578","E01007695","E00168765","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",12,4,300,57,2461,229,9461,2.31613165379927,2.4204629531762
"28","E02001578","E01007698","E00038975","Rotherham 001E","Rotherham 001","E08000018","Rotherham","",3,1.00671140939597,298,25,1517,229,9461,1.6479894528675,2.4204629531762
"29","E02001578","E01007695","E00168754","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",7,2.02898550724638,345,57,2461,229,9461,2.31613165379927,2.4204629531762
"30","E02001578","E01007697","E00038977","Rotherham 001D","Rotherham 001","E08000018","Rotherham","",7,1.95530726256983,358,19,1577,229,9461,1.20481927710843,2.4204629531762
"31","E02001578","E01007697","E00038971","Rotherham 001D","Rotherham 001","E08000018","Rotherham","",4,1.50375939849624,266,19,1577,229,9461,1.20481927710843,2.4204629531762
"32","E02001579","E01007819","E00039587","Rotherham 002C","Rotherham 002","E08000018","Rotherham","",5,1.96850393700787,254,44,1481,247,9205,2.97096556380824,2.68332428028246
