"","LSOA11CD","OA11CD","LSOA11NM","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUKZoneProp.lsoa"
"1","E01007657","E00038794","Rotherham 029A",13,5.37190082644628,242,34,1447,2.34968901174845
"2","E01007657","E00038802","Rotherham 029A",4,1.4336917562724,279,34,1447,2.34968901174845
"3","E01007657","E00038793","Rotherham 029A",5,1.51515151515152,330,34,1447,2.34968901174845
"4","E01007657","E00038804","Rotherham 029A",4,1.51515151515152,264,34,1447,2.34968901174845
"5","E01007657","E00038801","Rotherham 029A",8,2.40963855421687,332,34,1447,2.34968901174845
"6","E01007658","E00038797","Rotherham 032A",10,3.2051282051282,312,25,1391,1.79726815240834
"7","E01007658","E00038805","Rotherham 032A",3,1.3953488372093,215,25,1391,1.79726815240834
"8","E01007658","E00038791","Rotherham 032A",5,1.48809523809524,336,25,1391,1.79726815240834
"9","E01007658","E00038796","Rotherham 032A",1,0.36231884057971,276,25,1391,1.79726815240834
"10","E01007658","E00038799","Rotherham 032A",6,2.38095238095238,252,25,1391,1.79726815240834
"11","E01007659","E00038803","Rotherham 029B",3,0.977198697068404,307,18,1148,1.56794425087108
"12","E01007659","E00038806","Rotherham 029B",6,2.29885057471264,261,18,1148,1.56794425087108
"13","E01007659","E00038807","Rotherham 029B",6,2.2140221402214,271,18,1148,1.56794425087108
"14","E01007659","E00038795","Rotherham 029B",3,0.970873786407767,309,18,1148,1.56794425087108
"15","E01007660","E00038790","Rotherham 032B",10,2.1551724137931,464,22,1227,1.79299103504482
"16","E01007660","E00038808","Rotherham 032B",5,1.88679245283019,265,22,1227,1.79299103504482
"17","E01007660","E00038809","Rotherham 032B",3,0.920245398773006,326,22,1227,1.79299103504482
"18","E01007660","E00038813","Rotherham 032B",4,2.32558139534884,172,22,1227,1.79299103504482
"19","E01007661","E00038811","Rotherham 032C",4,1.08695652173913,368,33,1401,2.35546038543897
"20","E01007661","E00038814","Rotherham 032C",15,4.93421052631579,304,33,1401,2.35546038543897
"21","E01007661","E00038815","Rotherham 032C",3,0.804289544235925,373,33,1401,2.35546038543897
"22","E01007661","E00038800","Rotherham 032C",11,3.08988764044944,356,33,1401,2.35546038543897
"23","E01007662","E00038789","Rotherham 032D",4,1.55038759689922,258,9,1035,0.869565217391304
"24","E01007662","E00038812","Rotherham 032D",0,0,257,9,1035,0.869565217391304
"25","E01007662","E00038792","Rotherham 032D",4,1.23456790123457,324,9,1035,0.869565217391304
"26","E01007662","E00038810","Rotherham 032D",1,0.510204081632653,196,9,1035,0.869565217391304
"27","E01007663","E00038816","Rotherham 032E",2,0.664451827242525,301,29,1460,1.98630136986301
"28","E01007663","E00038819","Rotherham 032E",10,3.64963503649635,274,29,1460,1.98630136986301
"29","E01007663","E00038820","Rotherham 032E",9,2.64705882352941,340,29,1460,1.98630136986301
"30","E01007663","E00038817","Rotherham 032E",2,0.634920634920635,315,29,1460,1.98630136986301
"31","E01007663","E00038818","Rotherham 032E",6,2.60869565217391,230,29,1460,1.98630136986301
"32","E01007664","E00038798","Rotherham 032F",0,0,108,24,1854,1.29449838187702
"33","E01007664","E00038824","Rotherham 032F",2,0.865800865800866,231,24,1854,1.29449838187702
"34","E01007664","E00038826","Rotherham 032F",5,1.45772594752187,343,24,1854,1.29449838187702
"35","E01007664","E00038822","Rotherham 032F",2,0.673400673400673,297,24,1854,1.29449838187702
"36","E01007664","E00038823","Rotherham 032F",2,0.72202166064982,277,24,1854,1.29449838187702
"37","E01007664","E00038821","Rotherham 032F",8,2.73972602739726,292,24,1854,1.29449838187702
"38","E01007664","E00038825","Rotherham 032F",5,1.63398692810458,306,24,1854,1.29449838187702
"39","E01007665","E00038834","Rotherham 027A",19,3.71819960861057,511,54,1820,2.96703296703297
"40","E01007665","E00038875","Rotherham 027A",2,0.560224089635854,357,54,1820,2.96703296703297
"41","E01007665","E00038854","Rotherham 027A",16,2.80701754385965,570,54,1820,2.96703296703297
"42","E01007665","E00038874","Rotherham 027A",17,4.45026178010471,382,54,1820,2.96703296703297
"43","E01007666","E00038839","Rotherham 026A",5,0.972762645914397,514,20,1357,1.47383935151069
"44","E01007666","E00038876","Rotherham 026A",4,2.32558139534884,172,20,1357,1.47383935151069
"45","E01007666","E00038867","Rotherham 026A",6,3.10880829015544,193,20,1357,1.47383935151069
"46","E01007666","E00038871","Rotherham 026A",1,0.662251655629139,151,20,1357,1.47383935151069
"47","E01007666","E00038868","Rotherham 026A",4,1.22324159021407,327,20,1357,1.47383935151069
"48","E01007667","E00038829","Rotherham 030A",9,2.26700251889169,397,22,1359,1.61883738042678
"49","E01007667","E00038850","Rotherham 030A",4,1.63265306122449,245,22,1359,1.61883738042678
"50","E01007667","E00038847","Rotherham 030A",3,1.35746606334842,221,22,1359,1.61883738042678
"51","E01007667","E00038841","Rotherham 030A",5,2.55102040816327,196,22,1359,1.61883738042678
"52","E01007667","E00038872","Rotherham 030A",1,0.333333333333333,300,22,1359,1.61883738042678
"53","E01007668","E00038844","Rotherham 030B",18,5.34124629080119,337,49,1571,3.11903246339911
"54","E01007668","E00038840","Rotherham 030B",2,0.701754385964912,285,49,1571,3.11903246339911
"55","E01007668","E00038869","Rotherham 030B",8,3.82775119617225,209,49,1571,3.11903246339911
"56","E01007668","E00038870","Rotherham 030B",4,2.08333333333333,192,49,1571,3.11903246339911
"57","E01007668","E00038843","Rotherham 030B",13,4.20711974110032,309,49,1571,3.11903246339911
"58","E01007668","E00038873","Rotherham 030B",4,1.67364016736402,239,49,1571,3.11903246339911
"59","E01007669","E00038827","Rotherham 030C",5,1.45348837209302,344,39,1504,2.59308510638298
"60","E01007669","E00038842","Rotherham 030C",7,2.05278592375367,341,39,1504,2.59308510638298
"61","E01007669","E00038852","Rotherham 030C",16,3.75586854460094,426,39,1504,2.59308510638298
"62","E01007669","E00038846","Rotherham 030C",11,2.79898218829517,393,39,1504,2.59308510638298
"63","E01007670","E00038828","Rotherham 030D",8,1.82648401826484,438,28,1449,1.93236714975845
"64","E01007670","E00038853","Rotherham 030D",2,1.78571428571429,112,28,1449,1.93236714975845
"65","E01007670","E00038835","Rotherham 030D",5,1.27877237851662,391,28,1449,1.93236714975845
"66","E01007670","E00038848","Rotherham 030D",0,0,186,28,1449,1.93236714975845
"67","E01007670","E00038865","Rotherham 030D",13,4.03726708074534,322,28,1449,1.93236714975845
"68","E01007671","E00168782","Rotherham 031A",17,6.25,272,62,2117,2.92867264997638
"69","E01007671","E00168789","Rotherham 031A",5,2.1551724137931,232,62,2117,2.92867264997638
"70","E01007671","E00038845","Rotherham 031A",7,2.89256198347107,242,62,2117,2.92867264997638
"71","E01007671","E00168780","Rotherham 031A",8,2.8169014084507,284,62,2117,2.92867264997638
"72","E01007671","E00038849","Rotherham 031A",6,2.34375,256,62,2117,2.92867264997638
"73","E01007671","E00038832","Rotherham 031A",5,1.62866449511401,307,62,2117,2.92867264997638
