"","MSOA11CD","LSOA11CD","OA11CD","LSOA11NM","MSOA11NM","LAD11CD","LAD11NM","LAD11NMW","nonwhite","nonwhiteZoneProp.oa","Ethnic Group: All usual residents","nonwhite.lsoa","Ethnic Group: All usual residents.lsoa","nonwhite.msoa","Ethnic Group: All usual residents.msoa","nonwhiteZoneProp.lsoa","nonwhiteZoneProp.msoa"
"1","E02001578","E01007695","E00038988","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",9,2.72727272727273,330,43,2461,162,9461,1.74725721251524,1.71229256949583
"2","E02001578","E01007695","E00038989","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",3,1.23456790123457,243,43,2461,162,9461,1.74725721251524,1.71229256949583
"3","E02001578","E01007693","E00038980","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",5,2.39234449760766,209,50,2148,162,9461,2.32774674115456,1.71229256949583
"4","E02001578","E01007695","E00168764","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",4,1.0958904109589,365,43,2461,162,9461,1.74725721251524,1.71229256949583
"5","E02001578","E01007694","E00038984","Rotherham 001B","Rotherham 001","E08000018","Rotherham","",11,2.63157894736842,418,33,1758,162,9461,1.87713310580205,1.71229256949583
"6","E02001578","E01007693","E00168762","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",10,3.34448160535117,299,50,2148,162,9461,2.32774674115456,1.71229256949583
"7","E02001578","E01007693","E00038982","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",12,3.2520325203252,369,50,2148,162,9461,2.32774674115456,1.71229256949583
"8","E02001578","E01007693","E00168760","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",6,2.5974025974026,231,50,2148,162,9461,2.32774674115456,1.71229256949583
"9","E02001578","E01007695","E00168753","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",3,1.14068441064639,263,43,2461,162,9461,1.74725721251524,1.71229256949583
"10","E02001578","E01007693","E00168761","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",4,2.03045685279188,197,50,2148,162,9461,2.32774674115456,1.71229256949583
"11","E02001578","E01007697","E00038978","Rotherham 001D","Rotherham 001","E08000018","Rotherham","",1,0.367647058823529,272,10,1577,162,9461,0.634115409004439,1.71229256949583
"12","E02001578","E01007694","E00038985","Rotherham 001B","Rotherham 001","E08000018","Rotherham","",3,0.87719298245614,342,33,1758,162,9461,1.87713310580205,1.71229256949583
"13","E02001578","E01007698","E00038976","Rotherham 001E","Rotherham 001","E08000018","Rotherham","",3,1.06007067137809,283,26,1517,162,9461,1.7139090309822,1.71229256949583
"14","E02001578","E01007694","E00038987","Rotherham 001B","Rotherham 001","E08000018","Rotherham","",8,2.60586319218241,307,33,1758,162,9461,1.87713310580205,1.71229256949583
"15","E02001578","E01007693","E00038972","Rotherham 001A","Rotherham 001","E08000018","Rotherham","",9,3.6,250,50,2148,162,9461,2.32774674115456,1.71229256949583
"16","E02001578","E01007697","E00038970","Rotherham 001D","Rotherham 001","E08000018","Rotherham","",3,0.806451612903226,372,10,1577,162,9461,0.634115409004439,1.71229256949583
"17","E02001578","E01007695","E00038986","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",8,2.34604105571848,341,43,2461,162,9461,1.74725721251524,1.71229256949583
"18","E02001578","E01007695","E00038973","Rotherham 001C","Rotherham 001","E08000018","Rotherham","",3,1.09489051094891,274,43,2461,162,9461,1.74725721251524,1.71229256949583
