"date","geography","geography code","Rural Urban","Ethnic Group: All usual residents; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed/multiple ethnic groups; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"2011","E00065212","E00065212","Total",255,253,252,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"2011","E00065213","E00065213","Total",338,337,333,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065214","E00065214","Total",135,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065215","E00065215","Total",312,311,310,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065216","E00065216","Total",229,229,223,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065218","E00065218","Total",281,279,271,1,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"2011","E00065235","E00065235","Total",311,305,293,1,1,10,5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"2011","E00065236","E00065236","Total",258,256,253,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"2011","E00065239","E00065239","Total",180,180,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065242","E00065242","Total",277,272,270,1,0,1,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065270","E00065270","Total",416,409,403,1,0,5,5,0,0,5,0,1,0,1,0,0,0,1,1,0,0,0,0,0
"2011","E00065274","E00065274","Total",204,204,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065276","E00065276","Total",263,263,258,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065287","E00065287","Total",181,181,176,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00174850","E00174850","Total",247,246,243,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"2011","E00175335","E00175335","Total",245,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2011","E00175336","E00175336","Total",289,287,287,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2011","E00175337","E00175337","Total",222,218,214,0,0,4,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0
"2011","E00175367","E00175367","Total",206,205,201,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065257","E00065257","Total",339,333,330,1,0,2,2,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065269","E00065269","Total",275,274,274,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","E00065271","E00065271","Total",228,226,225,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"2011","E00065273","E00065273","Total",215,215,212,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
