LSOA11CD,Ethnic Group: All usual residents; measures: Value,Ethnic Group: White; measures: Value,Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value,Ethnic Group: White: Irish; measures: Value,Ethnic Group: White: Gypsy or Irish Traveller; measures: Value,Ethnic Group: White: Other White; measures: Value,Ethnic Group: Mixed/multiple ethnic groups; measures: Value,Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value,Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value,Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value,Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value,Ethnic Group: Asian/Asian British; measures: Value,Ethnic Group: Asian/Asian British: Indian; measures: Value,Ethnic Group: Asian/Asian British: Pakistani; measures: Value,Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value,Ethnic Group: Asian/Asian British: Chinese; measures: Value,Ethnic Group: Asian/Asian British: Other Asian; measures: Value,Ethnic Group: Black/African/Caribbean/Black British; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value,Ethnic Group: Other ethnic group; measures: Value,Ethnic Group: Other ethnic group: Arab; measures: Value,Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value
E01007317,1493,1465,1450,2,0,13,10,4,5,1,0,1,0,0,0,0,1,16,13,0,3,1,0,1
E01007318,1544,1466,1419,3,0,44,17,6,4,2,5,15,2,6,0,2,5,45,32,6,7,1,0,1
E01007319,1465,1456,1439,3,0,14,3,1,1,1,0,5,0,1,0,4,0,0,0,0,0,1,0,1
E01007320,1596,1569,1523,10,0,36,6,2,1,1,2,3,0,0,0,0,3,18,17,0,1,0,0,0
E01007321,1433,1416,1402,3,0,11,5,2,0,2,1,9,0,0,0,5,4,3,3,0,0,0,0,0
E01007322,2082,2016,1923,7,0,86,11,3,0,2,6,31,5,0,3,11,12,17,17,0,0,7,1,6
E01007323,1483,1450,1427,7,2,14,15,6,0,7,2,8,0,0,4,4,0,10,9,1,0,0,0,0
E01007324,1667,1634,1604,7,2,21,15,8,0,6,1,0,0,0,0,0,0,16,13,0,3,2,2,0
E01007325,1714,1667,1649,1,2,15,16,4,0,4,8,21,5,0,0,4,12,5,4,0,1,5,0,5
E01007326,1526,1489,1479,2,3,5,9,7,1,1,0,8,6,0,0,0,2,17,15,2,0,3,0,3
E01007327,1676,1664,1644,7,0,13,7,2,0,5,0,2,2,0,0,0,0,2,2,0,0,1,0,1
E01007328,1922,1891,1852,10,0,29,11,3,1,1,6,5,0,1,0,2,2,13,5,5,3,2,1,1
